asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
SOH-SYS-001,sohag,system,whole railway,Sohag railway system,,,,,,"26.46,31.5849 to 26.6582,31.8065",system
SOH-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-022,line-1-022,rolling-stock,revenue,line-1 trainset 022,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-023,line-1-023,rolling-stock,revenue,line-1 trainset 023,line-1,SOH-SYS-001,,,,fleet,service
SOH-RS-L1-024,line-1-024,rolling-stock,spare,line-1 trainset 024,line-1,SOH-SYS-001,,,,fleet,service
