evidence_id,city,asset_id,asset_name,asset_type,manufacturing_uid,package_id,phase,qa_uid,qa_gate_id,qa_stage,hold_point,required_result,release_authority,evidence_required,blocks_successors,predecessor_uids,material_count,material_sources,acceptance_use
mosul:MOS-SYS-001:sys-00-baseline-freeze:VERIFY,mosul,MOS-SYS-001,Mosul railway system,system,mosul:MOS-SYS-001:sys-00-baseline-freeze,sys-00-baseline-freeze,program-control,mosul:MOS-SYS-001:qa-00-design-freeze,qa-00-design-freeze,design freeze,"No procurement, fabrication, or site work starts until design assumptions, interfaces, hazards, and inspection/test plans are baselined.",pass,system assurance lead + owner engineer,"approved drawing register, interface control document, hazard-log snapshot, inspection/test plan, material and supplier register",yes,,1,project_kit:1,baseline design and ITP release
mosul:MOS-PLANT-001:dep-10-building-plant:VERIFY,mosul,MOS-PLANT-001,production/depot tooling at line-1-0990-1210-s034548,depots-production,mosul:MOS-PLANT-001:dep-10-building-plant,dep-10-building-plant,depots-production,mosul:MOS-PLANT-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
mosul:MOS-DEP-001:dep-10-building-plant:VERIFY,mosul,MOS-DEP-001,main-heavy at line-1-0990-1210-s034548,depot,mosul:MOS-DEP-001:dep-10-building-plant,dep-10-building-plant,depots-production,mosul:MOS-DEP-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
mosul:MOS-DEP-001:dep-20-charging-stabling:VERIFY,mosul,MOS-DEP-001,main-heavy at line-1-0990-1210-s034548,depot,mosul:MOS-DEP-001:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,mosul:MOS-DEP-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-DEP-001:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-EN-001:en-10-energy-build:VERIFY,mosul,MOS-EN-001,energy site at line-1-0120-0123-s000000,energy,mosul:MOS-EN-001:en-10-energy-build,en-10-energy-build,energy,mosul:MOS-EN-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-EN-002:en-10-energy-build:VERIFY,mosul,MOS-EN-002,energy site at line-1-0517-0527-s013084,energy,mosul:MOS-EN-002:en-10-energy-build,en-10-energy-build,energy,mosul:MOS-EN-002:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-EN-001:en-20-energy-commission:VERIFY,mosul,MOS-EN-001,energy site at line-1-0120-0123-s000000,energy,mosul:MOS-EN-001:en-20-energy-commission,en-20-energy-commission,energy,mosul:MOS-EN-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-EN-001:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-EN-003:en-10-energy-build:VERIFY,mosul,MOS-EN-003,energy site at line-1-0554-0607-s015108,energy,mosul:MOS-EN-003:en-10-energy-build,en-10-energy-build,energy,mosul:MOS-EN-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-ST-001:st-10-civil-structure:VERIFY,mosul,MOS-ST-001,line-1-0120-0123-s000000,station,mosul:MOS-ST-001:st-10-civil-structure,st-10-civil-structure,stations,mosul:MOS-ST-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,mosul:MOS-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
mosul:MOS-EN-002:en-20-energy-commission:VERIFY,mosul,MOS-EN-002,energy site at line-1-0517-0527-s013084,energy,mosul:MOS-EN-002:en-20-energy-commission,en-20-energy-commission,energy,mosul:MOS-EN-002:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-EN-002:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-EN-004:en-10-energy-build:VERIFY,mosul,MOS-EN-004,energy site at line-1-0538-0690-s017130,energy,mosul:MOS-EN-004:en-10-energy-build,en-10-energy-build,energy,mosul:MOS-EN-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
mosul:MOS-ST-002:st-10-civil-structure:VERIFY,mosul,MOS-ST-002,line-1-0143-0234-s002522,station,mosul:MOS-ST-002:st-10-civil-structure,st-10-civil-structure,stations,mosul:MOS-ST-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,mosul:MOS-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
mosul:MOS-EN-003:en-20-energy-commission:VERIFY,mosul,MOS-EN-003,energy site at line-1-0554-0607-s015108,energy,mosul:MOS-EN-003:en-20-energy-commission,en-20-energy-commission,energy,mosul:MOS-EN-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,mosul:MOS-EN-003:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
