task_uid,city,asset_id,asset_name,asset_type,line,task_id,cadence,trigger,scope,evidence_required,owner,next_due_basis,status,severity
mosul:MOS-RS-L1-001:rs-daily,mosul,MOS-RS-L1-001,line-1 trainset 001,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-002:rs-daily,mosul,MOS-RS-L1-002,line-1 trainset 002,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-003:rs-daily,mosul,MOS-RS-L1-003,line-1 trainset 003,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-004:rs-daily,mosul,MOS-RS-L1-004,line-1 trainset 004,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-005:rs-daily,mosul,MOS-RS-L1-005,line-1 trainset 005,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-006:rs-daily,mosul,MOS-RS-L1-006,line-1 trainset 006,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-007:rs-daily,mosul,MOS-RS-L1-007,line-1 trainset 007,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-008:rs-daily,mosul,MOS-RS-L1-008,line-1 trainset 008,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-009:rs-daily,mosul,MOS-RS-L1-009,line-1 trainset 009,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
mosul:MOS-RS-L1-010:rs-daily,mosul,MOS-RS-L1-010,line-1 trainset 010,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
